feat_0,feat_1,feat_2,feat_3,class
1,665,568,909,0
1,665,568,243,0
1,649,552,909,0
1,617,519,876,0
1,617,552,828,0
1,600,600,779,0
1,633,535,730,0
1,633,584,698,0
1,633,730,682,0
1,649,698,682,0
1,698,682,649,0
1,600,730,665,0
1,617,730,649,0
1,584,730,584,0
1,422,714,584,0
1,438,811,600,0
1,422,730,600,0
1,373,746,568,0
1,227,844,649,0
1,276,779,682,0
1,227,714,682,0
1,146,682,617,0
1,81,665,633,0
1,16,682,649,0
1,32,665,649,0
1,32,714,617,0
1,97,698,665,0
1,162,649,633,0
1,178,665,600,0
1,178,649,600,0
1,178,649,568,0
1,211,633,584,0
1,227,617,584,0
1,211,633,584,0
1,211,633,568,0
1,211,617,584,0
1,194,617,568,0
1,162,600,568,0
1,211,617,552,0
1,194,600,568,0
1,227,600,568,0
1,227,600,552,0
1,227,633,568,0
1,227,600,568,0
1,211,617,568,0
1,227,617,568,0
1,211,600,568,0
1,211,600,584,0
1,178,584,584,0
1,227,633,568,0
1,227,633,568,0
1,211,633,584,0
1,211,617,584,0
1,194,633,568,0
1,227,633,568,0
1,211,617,552,0
1,227,600,584,0
1,211,633,568,0
1,194,633,584,0
1,194,633,584,0
1,211,633,568,0
1,211,617,568,0
1,211,617,552,0
1,211,617,568,0
1,211,617,568,0
1,194,617,568,0
1,194,600,568,0
1,227,617,552,0
1,194,617,584,0
1,211,617,568,0
1,211,600,568,0
1,194,600,568,0
1,194,600,568,0
1,178,617,568,0
1,194,617,568,0
1,211,617,584,0
1,194,600,584,0
1,194,617,568,0
1,194,617,568,0
1,211,617,568,0
1,211,617,552,0
1,194,617,568,0
1,211,600,568,0
1,211,600,568,0
1,211,617,584,0
1,211,617,568,0
1,227,617,584,0
1,227,617,584,0
1,211,617,568,0
1,211,617,552,0
1,194,617,552,0
1,194,617,584,0
1,194,600,568,0
1,211,600,584,0
1,194,600,584,0
1,194,600,552,0
1,243,600,568,0
1,194,617,568,0
1,178,600,584,0
1,194,617,568,0
1,211,617,568,0
1,211,617,568,0
1,227,633,552,0
1,211,617,552,0
1,227,633,552,0
1,194,665,568,0
1,178,682,600,0
1,178,649,600,0
1,194,665,600,0
1,211,665,617,0
1,227,682,633,0
1,227,665,649,0
1,243,665,649,0
1,227,665,649,0
1,243,665,649,0
1,243,665,649,0
1,211,649,649,0
1,227,665,633,0
1,227,633,633,0
1,227,617,633,0
1,227,633,649,0
1,211,617,617,0
1,211,633,584,0
1,178,633,552,0
1,162,617,568,0
1,194,617,584,0
1,259,617,568,0
1,259,600,552,0
1,227,600,568,0
1,178,600,568,0
1,194,600,552,0
1,211,584,519,0
1,211,617,519,0
1,211,617,535,0
1,211,633,535,0
1,194,649,535,0
1,194,649,535,0
1,211,633,552,0
1,211,633,568,0
1,146,633,552,0
1,81,682,535,0
1,97,682,535,0
1,178,682,552,0
1,129,665,552,0
1,81,649,552,0
1,146,633,600,0
1,194,682,617,0
1,146,649,617,0
1,146,617,584,0
1,194,568,600,0
1,243,568,584,0
1,259,568,584,0
1,227,617,584,0
1,227,600,568,0
1,243,617,568,0
1,243,600,568,0
1,276,617,568,0
1,259,633,568,0
1,211,617,568,0
1,194,584,568,0
1,146,600,535,0
1,97,600,568,0
1,194,617,584,0
1,178,617,568,0
1,129,617,535,0
1,129,600,535,0
1,162,584,552,0
1,227,584,568,0
1,259,584,584,0
1,243,617,584,0
1,227,633,568,0
1,227,617,568,0
1,211,617,568,0
1,194,633,568,0
1,178,617,568,0
1,146,633,568,0
1,113,633,584,0
1,48,633,584,0
1,32,633,600,0
1,194,617,600,0
1,194,600,600,0
1,211,600,617,0
1,178,584,600,0
1,178,584,600,0
1,178,568,600,0
1,227,568,584,0
1,243,584,584,0
1,243,584,568,0
1,259,584,584,0
1,259,584,568,0
1,243,568,568,0
1,211,568,552,0
1,211,584,552,0
1,211,584,568,0
1,113,584,552,0
1,146,617,568,0
1,129,600,535,0
1,113,600,552,0
1,146,584,519,0
1,162,600,552,0
1,211,600,568,0
1,211,633,584,0
1,227,617,568,0
1,243,600,568,0
1,211,600,584,0
1,211,617,584,0
1,178,600,552,0
1,146,617,535,0
1,129,617,519,0
1,162,633,552,0
1,97,633,568,0
1,81,600,535,0
1,211,617,584,0
1,211,617,600,0
1,211,649,617,0
1,211,600,617,0
1,194,600,600,0
1,211,568,617,0
1,178,552,600,0
1,194,568,600,0
1,194,568,617,0
1,243,584,600,0
1,276,584,600,0
