feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,class
1,474,604,343,0,292,920,7,0
1,474,604,343,0,324,232,3,0
1,420,636,308,0,292,997,0,0
1,420,636,308,0,259,914,8,0
1,420,636,308,0,308,390,1,0
1,442,613,322,2,194,872,5,0
1,442,613,322,3,454,857,2,0
1,442,613,322,3,438,1019,0,0
1,490,618,322,3,422,957,1,0
1,490,618,322,3,422,40,6,0
1,490,618,322,0,308,303,4,0
1,490,618,322,0,276,115,7,0
1,490,618,322,3,438,885,2,0
1,484,604,363,3,422,290,9,0
1,484,604,363,0,276,970,1,0
1,484,604,363,0,146,244,10,0
1,426,632,315,0,292,850,2,0
1,511,591,384,3,422,40,6,0
1,511,591,384,0,146,251,10,0
1,511,591,384,0,276,246,3,0
1,442,618,336,0,259,988,0,0
1,506,600,357,0,194,730,10,0
1,506,600,357,0,129,176,11,0
1,506,600,357,3,422,860,2,0
1,506,600,357,3,389,327,9,0
1,506,600,357,3,405,977,1,0
1,580,568,411,3,405,976,7,0
1,580,568,411,0,308,273,3,0
1,580,568,411,0,308,324,2,0
1,580,568,411,3,357,812,9,0
1,580,568,411,3,405,949,1,0
1,580,568,411,3,422,710,4,0
1,580,568,411,3,405,977,7,0
1,458,609,336,0,292,149,5,0
1,458,609,336,3,405,14,0,0
1,458,609,336,0,243,943,8,0
1,458,609,336,3,405,23,6,0
1,458,609,336,0,162,796,10,0
1,458,609,336,3,341,156,11,0
1,458,609,336,0,308,322,2,0
1,474,609,357,3,405,946,1,0
1,474,609,357,0,178,288,10,0
1,474,609,357,3,422,278,3,0
1,474,609,357,3,405,120,5,0
1,474,609,357,0,292,988,0,0
1,463,604,350,3,405,195,4,0
1,463,604,350,3,389,971,7,0
1,463,604,350,0,292,260,3,0
1,463,604,350,0,308,331,2,0
1,463,604,350,3,373,829,9,0
1,463,604,350,3,405,968,1,0
1,463,604,350,3,405,53,6,0
1,463,604,350,0,292,226,4,0
1,468,595,350,0,292,124,5,0
1,468,595,350,0,308,455,0,0
1,468,595,350,3,405,351,8,0
1,468,595,350,1,81,908,1,0
1,468,595,350,3,373,225,10,0
1,452,609,343,0,308,181,5,0
1,452,609,343,3,405,37,0,0
1,452,609,343,3,389,324,9,0
1,452,609,343,3,405,938,1,0
1,452,609,343,3,422,187,4,0
1,484,595,357,2,211,853,3,0
1,484,595,357,0,324,348,2,0
1,484,595,357,0,308,994,0,0
1,484,595,357,3,405,890,8,0
1,463,604,343,0,162,307,10,0
1,463,604,343,3,422,252,3,0
1,463,604,343,3,422,840,2,0
1,479,609,357,3,422,879,8,0
1,479,609,357,0,292,393,1,0
1,479,609,357,3,438,200,4,0
1,479,609,357,3,405,979,7,0
1,479,609,357,3,438,281,3,0
1,474,609,350,3,405,1015,0,0
1,474,609,350,3,389,283,9,0
1,474,609,350,3,422,928,1,0
1,474,609,350,0,243,50,6,0
1,474,609,350,3,389,225,10,0
1,474,609,350,0,259,1021,7,0
1,452,604,350,3,422,44,0,0
1,452,604,350,3,405,332,9,0
1,452,604,350,3,422,967,1,0
1,452,604,350,0,276,65,6,0
1,452,604,350,3,422,721,4,0
1,452,604,350,3,405,982,7,0
1,436,613,343,3,405,125,5,0
1,436,613,343,0,308,341,2,0
1,436,613,343,0,194,867,9,0
1,436,613,343,0,324,393,1,0
1,511,591,357,0,276,712,10,0
1,500,609,357,0,324,194,2,0
1,500,609,357,0,357,218,0,0
1,500,609,357,3,405,877,8,0
1,500,609,357,0,308,101,1,0
1,447,604,398,3,178,326,7,0
1,447,604,398,0,438,919,2,0
1,447,604,398,3,389,359,0,0
1,575,545,549,3,292,184,1,0
1,575,545,549,2,535,905,4,0
1,655,545,453,2,422,808,7,0
1,586,500,233,2,633,936,5,0
1,708,427,357,2,665,928,2,0
1,900,636,343,2,665,817,2,0
1,618,518,199,2,617,778,0,0
1,783,309,329,3,259,546,6,2
1,783,309,329,3,259,132,4,2
1,841,250,357,2,617,18,7,2
1,788,177,247,3,276,740,3,2
1,788,177,247,3,259,652,3,2
1,788,177,247,3,243,1007,5,2
1,788,177,247,3,178,138,2,2
1,767,204,219,3,113,591,9,2
1,788,245,247,3,211,188,1,2
1,879,186,295,3,211,946,4,2
1,793,245,254,3,178,13,3,2
1,793,245,254,3,64,937,11,2
1,879,195,315,3,194,107,2,2
1,879,195,315,3,211,267,0,2
1,767,245,247,3,211,952,4,2
1,767,245,247,3,97,989,10,2
1,772,240,254,3,227,108,2,2
1,751,236,226,3,129,45,9,2
1,847,218,295,3,211,706,1,2
1,825,227,267,3,211,966,4,2
1,825,227,267,3,113,1001,10,2
1,767,240,240,2,617,727,3,2
1,767,240,240,3,211,14,3,2
1,767,240,240,3,194,354,5,2
1,916,186,329,3,194,768,0,2
1,772,240,240,3,113,35,9,2
1,772,240,240,2,617,826,1,2
1,751,240,240,3,227,173,1,2
1,799,240,240,2,617,170,4,2
1,799,240,240,3,97,983,10,2
1,767,245,247,2,617,725,3,2
1,767,245,247,3,227,2,3,2
1,767,245,247,3,227,858,5,2
1,756,245,240,3,227,599,2,2
1,756,245,240,3,211,254,0,2
1,921,186,329,2,617,820,1,2
1,921,186,329,2,617,822,1,2
1,921,186,329,2,633,822,1,2
1,836,227,274,3,211,255,6,2
1,809,240,254,3,194,693,7,2
1,756,240,240,3,211,340,5,2
1,756,240,240,3,211,88,2,2
1,756,240,240,3,211,250,0,2
1,756,240,240,3,113,32,9,2
1,895,195,315,2,617,824,1,2
1,895,195,315,3,211,176,1,2
1,761,240,240,3,227,429,4,2
1,921,186,322,2,617,770,2,2
1,921,186,322,2,633,771,2,2
1,921,186,322,3,243,597,2,2
1,921,186,322,3,178,97,8,2
1,921,186,322,3,243,169,1,2
1,921,186,322,3,227,256,6,2
1,921,186,322,3,227,418,4,2
1,889,190,315,2,617,210,3,2
1,889,190,315,3,227,1015,3,2
1,889,190,315,3,81,904,11,2
1,815,236,260,2,617,772,2,2
1,815,236,260,2,617,867,0,2
1,815,231,247,3,129,23,9,2
1,905,186,315,2,617,816,1,2
1,756,240,240,3,243,921,4,2
1,756,240,240,3,194,679,7,2
1,921,177,322,3,227,335,5,2
1,879,195,308,3,227,249,0,2
1,777,240,247,3,129,29,9,2
1,852,204,281,3,211,943,4,2
1,761,240,233,3,178,702,7,2
1,761,240,233,2,617,207,3,2
1,884,200,308,3,227,600,2,2
1,884,200,308,2,617,874,0,2
1,783,240,247,3,146,25,9,2
1,783,240,247,2,633,837,1,2
1,783,240,247,3,227,773,6,2
1,772,240,240,3,227,938,4,2
1,783,231,240,3,81,397,11,2
1,777,240,240,3,211,86,2,2
1,921,186,329,3,211,261,6,2
1,793,240,240,3,113,458,10,2
1,927,177,329,3,97,901,11,2
1,841,218,281,3,227,849,5,2
1,815,236,247,2,568,941,9,2
1,879,204,302,3,162,614,8,2
1,852,218,281,3,227,938,4,2
1,820,227,254,3,227,2,3,2
1,820,227,254,3,194,845,5,2
1,868,209,295,3,194,751,0,2
1,868,209,295,3,113,15,9,2
1,767,240,240,3,227,679,1,2
1,825,227,274,3,227,932,4,2
1,825,227,274,3,97,966,10,2
1,820,227,254,3,81,900,11,2
1,820,227,254,3,227,849,5,2
1,820,227,254,3,211,89,2,2
1,820,227,254,3,211,767,0,2
1,799,231,254,2,617,817,1,2
1,799,231,254,3,211,682,1,2
1,761,240,233,2,617,156,4,2
1,809,240,247,3,194,686,7,2
1,804,240,247,3,227,336,5,2
1,804,240,247,2,633,757,2,2
1,884,181,274,3,194,685,9,2
1,884,181,274,2,633,704,8,2
1,884,181,274,0,422,1001,8,2
1,884,181,274,2,665,17,1,2
1,815,322,254,2,649,843,6,2
1,815,322,254,3,259,944,6,2
1,820,309,240,0,373,776,4,2
1,713,445,377,3,64,944,7,0
1,713,445,377,3,276,743,4,0
1,713,445,377,2,422,793,10,0
1,554,481,597,0,324,39,11,0
1,554,481,597,0,259,926,5,0
1,554,481,597,0,373,932,1,0
1,554,481,597,0,276,914,3,0
1,554,481,597,3,405,80,5,0
1,575,586,343,0,341,979,0,0
1,575,586,343,3,422,964,1,0
1,575,586,343,3,389,47,6,0
1,575,586,343,3,405,182,4,0
1,575,586,343,0,211,886,10,0
1,516,595,377,0,308,815,5,0
1,516,595,377,3,454,119,0,0
1,516,595,377,3,405,929,9,0
1,516,595,377,3,438,24,1,0
1,436,627,315,0,292,901,4,0
1,436,627,315,3,389,862,10,0
1,436,627,315,0,308,964,3,0
1,447,613,343,3,438,106,0,0
1,447,613,343,0,211,1022,9,0
1,447,613,343,3,438,21,1,0
1,511,586,377,3,438,797,4,0
1,511,586,377,3,389,853,10,0
1,506,591,370,0,292,31,2,0
1,506,591,370,0,308,176,0,0
1,559,577,398,0,292,886,4,0
1,559,577,398,0,243,659,7,0
1,559,577,398,3,438,884,3,0
1,452,609,343,3,438,122,0,0
1,452,609,343,3,405,929,9,0
1,452,609,343,0,259,101,8,0
1,452,609,343,3,438,38,1,0
1,591,572,398,3,405,827,10,0
1,591,572,398,3,422,35,7,0
1,591,572,398,3,454,869,3,0
1,591,572,398,0,324,822,5,0
1,495,604,363,3,438,111,0,0
1,495,604,363,3,405,913,9,0
1,495,604,363,3,405,988,8,0
1,495,604,363,3,438,26,1,0
1,495,604,363,0,308,760,6,0
1,495,604,363,3,438,800,4,0
1,580,572,411,3,438,884,3,0
1,580,572,411,0,341,850,5,0
1,580,572,411,0,341,51,2,0
1,580,572,411,0,341,186,0,0
1,580,572,411,3,405,900,9,0
1,580,572,411,3,405,979,8,0
1,580,572,411,3,438,24,1,0
1,463,618,336,0,324,932,4,0
